BoroCD,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,2010,Total_Recycling,Diversion_Rate,Per_Capita_Diversion_Rate
101,15644.120000000003,4203.21,2409.3500000000004,60978.0,6612.56,0.297104509747186,0.48723229647936306
102,24560.51,5132.0199999999995,3456.2299999999996,90016.0,8588.25,0.25908208934512184,0.28781782054870453
103,35667.060000000005,3848.1199999999994,3153.66,163277.0,7001.779999999999,0.16409586011712524,0.10050151590066282
104,27466.219999999998,5176.57,4062.7799999999997,103245.0,9239.349999999999,0.251715202896999,0.24380377054288244
105,15496.39,2998.7000000000003,1849.3600000000001,51673.0,4848.06,0.23829889724224543,0.46116714191598207
106,34668.05,6195.789999999999,4426.2,142745.0,10621.989999999998,0.23453258155656295,0.16430178399002623
107,61500.97,12656.670000000002,7952.370000000001,209084.0,20609.04,0.25099302752490227,0.12004411027381448
108,64395.41,13541.65,8178.419999999999,219920.0,21720.07,0.2522202744500756,0.11468728376231158
109,29498.770000000004,3183.1400000000003,2532.9300000000003,110193.0,5716.070000000001,0.16231991967022993,0.14730510982569667
110,33450.810000000005,2740.79,2199.24,115723.0,4940.03,0.1286773094831996,0.11119423924647616
111,26191.260000000002,2391.6600000000003,1868.09,120511.0,4259.75,0.13988862766785073,0.11607955096866736
112,59551.23,5243.57,5121.8099999999995,190020.0,10365.38,0.14825346938302641,0.07801992915641849
201,22967.8,1138.6,1193.4299999999998,91497.0,2332.0299999999997,0.09217571817676246,0.10074179282027002
202,18306.760000000002,963.02,1195.67,52246.0,2158.69,0.10547972314315102,0.2018905239504479
203,21993.15,1290.9299999999998,1307.52,79762.0,2598.45,0.10566412921485384,0.1324742724791929
204,50086.06,2404.82,2610.98,146441.0,5015.8,0.09102778018745647,0.062160037276074644
205,41398.47,2266.66,2932.7200000000003,128200.0,5199.38,0.11157982610785691,0.08703574579396015
206,25581.960000000006,1364.06,1664.8,83268.0,3028.8599999999997,0.10586414510314625,0.12713664925679283
207,43394.9,2938.51,3626.5199999999995,139286.0,6565.03,0.13140590869522836,0.09434251015552773
208,28642.119999999995,3973.2600000000007,3395.83,101731.0,7369.09,0.2046332239322145,0.20115129501549625
209,45362.919999999984,2266.23,2958.39,172298.0,5224.62,0.10327879157594937,0.05994195613178874
210,29631.719999999998,3950.02,3580.9699999999993,120392.0,7530.99,0.20264910712916254,0.16832439624656334
211,35735.61000000001,3514.4100000000008,3170.6600000000003,113232.0,6685.0700000000015,0.15758988304760793,0.13917433503568596
212,45318.24,4326.72,5127.75,152344.0,9454.470000000001,0.17261278472436367,0.11330461634482727
301,58922.7,5920.319999999999,4602.489999999999,173083.0,10522.809999999998,0.15152613898292341,0.08754536204186628
302,28887.760000000002,5083.16,3610.75,99617.0,8693.91,0.2313337858589041,0.23222320071765273
303,47605.670000000006,3210.89,2814.9599999999996,152985.0,6025.849999999999,0.11235650229566492,0.07344282269220179
304,37034.59,2408.43,2962.0799999999995,112634.0,5370.509999999999,0.12664773812583863,0.11244183650215621
305,52319.74,2962.48,3538.12,182896.0,6500.6,0.11051619218794044,0.06042570214107495
306,26641.819999999996,6826.6,4482.280000000001,104709.0,11308.880000000001,0.2979887064006725,0.2845874818789908
307,39208.340000000004,5075.540000000001,4105.61,126230.0,9181.150000000001,0.18973438240411297,0.1503084705728535
308,31983.659999999996,2865.46,2562.94,96317.0,5428.4,0.14509759687116935,0.15064588480867278
309,36624.14000000001,2792.59,2100.4799999999996,98429.0,4893.07,0.1178564262868338,0.11973750245032845
310,38947.39,6472.74,4319.17,124491.0,10791.91,0.21696947886279058,0.17428527272075137
311,57692.93000000001,7770.53,5150.61,181981.0,12921.14,0.18298251325833503,0.10055033946309506
312,71380.17000000001,8160.070000000001,4339.289999999999,191382.0,12499.36,0.14901561799404453,0.07786292231978166
313,25515.500000000004,1998.06,1825.1699999999998,104278.0,3823.2299999999996,0.1303134116575598,0.12496731013019027
314,57865.490000000005,5445.05,3647.02,160664.0,9092.07,0.1357885502398833,0.08451709794346168
315,52899.91000000001,7227.31,4752.34,159650.0,11979.650000000001,0.1846444396355339,0.11565577177296203
316,23215.35,1208.7500000000002,1333.73,86468.0,2542.4800000000005,0.09870707276195241,0.11415445339542074
317,51299.63,3801.1200000000003,4138.73,155252.0,7939.85,0.13402970451462437,0.08633042055150618
318,64130.3,7027.160000000001,5725.6,193543.0,12752.760000000002,0.16587217002028798,0.08570300657749853
401,49191.28,6882.469999999998,6053.000000000001,191105.0,12935.47,0.20821095582820603,0.10895107706664191
402,33897.90000000001,4724.619999999999,3558.1399999999994,113200.0,8282.759999999998,0.19636392602676198,0.17346636574802293
403,56718.119999999995,4526.95,4386.740000000001,171576.0,8913.69,0.13581356357534557,0.07915650415870842
404,50133.12,4145.4800000000005,3439.2999999999997,172598.0,7584.780000000001,0.1314112259801552,0.07613716612020718
405,57167.14,7955.109999999999,6962.31,169190.0,14917.419999999998,0.20694334542653792,0.12231417071135287
406,33381.43,5118.81,3456.35,113257.0,8575.16,0.2043817192960629,0.1804583551533794
407,77455.75,10015.18,6756.15,247354.0,16771.33,0.17798842965313158,0.07195696437216766
408,43682.149999999994,5823.200000000001,3939.74,151107.0,9762.94,0.18267234651489972,0.12088940056708142
409,47840.23,5229.64,4871.619999999999,143317.0,10101.259999999998,0.17433552364635424,0.12164329678011279
410,45079.86,4772.63,4440.12,122396.0,9212.75,0.1696869979173961,0.1386376988769209
411,36025.869999999995,6223.069999999999,4248.82,116431.0,10471.89,0.22521278444380977,0.19343025864572988
412,77975.34999999999,5762.08,7303.879999999999,225919.0,13065.96,0.14351682769063845,0.06352578919463987
413,63408.25999999999,6388.62,7204.82,188593.0,13593.439999999999,0.1765342843080088,0.09360595796663121
414,37777.39000000001,2753.37,2150.6800000000003,114978.0,4904.05,0.11489888813498324,0.09993119391099448
501,61289.45999999999,7540.18,7046.67,175756.0,14586.85,0.19224511576801773,0.10938182239469361
502,50475.28,7042.88,5637.43,132003.0,12680.310000000001,0.20077890175675664,0.15210177174515477
503,68154.42,9983.98,7674.210000000001,160209.0,17658.190000000002,0.20577616739544458,0.1284423268327276
