MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,BOROUGH_ID,BoroCD
2014 / 04,Queens,08,3742.58,487.35,345.62,4,408
2014 / 04,Queens,06,2881.37,419.57,292.61,4,406
2014 / 04,Manhattan,02,2089.72,437.48,303.54,1,102
2014 / 04,Manhattan,07,5258.65,998.82,644.74,1,107
2014 / 04,Bronx,06,2202.0,132.5,157.6,2,206
2014 / 04,Bronx,08,2425.09,340.21,293.21,2,208
2014 / 04,Brooklyn,18,5388.17,597.75,473.18,3,318
2014 / 04,Bronx,09,3862.22,181.93,246.01,2,209
2014 / 04,Bronx,10,2619.58,319.77,297.1,2,210
2014 / 04,Queens,14,3208.04,225.43,177.33,4,414
2014 / 05,Bronx,08,2511.79,331.73,276.69,2,208
2014 / 05,Manhattan,08,5799.13,1267.17,727.31,1,108
2014 / 05,Staten Island,02,5047.81,610.83,512.28,5,502
2014 / 05,Manhattan,09,2711.99,329.84,246.27,1,109
2014 / 05,Brooklyn,12,6425.33,732.04,383.06,3,312
2014 / 05,Manhattan,11,2311.43,188.48,147.43,1,111
2014 / 05,Manhattan,04,2421.58,512.44,382.83,1,104
2014 / 05,Manhattan,03,3145.38,354.87,289.27,1,103
2014 / 05,Queens,10,4449.66,416.84,381.94,4,410
2014 / 05,Brooklyn,14,5115.68,451.66,294.58,3,314
2014 / 05,Brooklyn,13,2310.08,168.11,158.52,3,313
2014 / 05,Manhattan,02,2185.15,432.69,272.65,1,102
2014 / 05,Manhattan,06,3112.82,647.98,418.11,1,106
2014 / 05,Brooklyn,07,3520.05,426.91,347.02,3,307
2014 / 05,Queens,12,7595.06,512.3,648.59,4,412
2014 / 05,Brooklyn,15,4871.26,624.68,407.46,3,315
2014 / 05,Brooklyn,11,5140.08,671.42,436.96,3,311
2014 / 05,Brooklyn,09,3259.57,267.81,189.26,3,309
2014 / 05,Brooklyn,17,4642.02,329.29,347.59,3,317
2014 / 05,Brooklyn,06,2448.59,604.94,400.92,3,306
2014 / 05,Staten Island,01,6037.64,641.01,640.1,5,501
2014 / 05,Queens,01,4472.98,595.53,497.55,4,401
2014 / 05,Queens,11,3530.96,542.09,368.78,4,411
2014 / 05,Bronx,11,3299.16,304.2,276.38,2,211
2014 / 05,Brooklyn,01,5378.65,555.47,406.97,3,301
2014 / 05,Queens,04,4495.04,362.51,302.32,4,404
2014 / 05,Brooklyn,03,4361.88,257.77,230.43,3,303
2014 / 05,Manhattan,07,5503.09,1194.38,689.51,1,107
2014 / 05,Bronx,01,1992.37,87.75,91.94,2,201
2014 / 05,Brooklyn,02,2626.64,423.05,308.69,3,302
2014 / 05,Bronx,05,3624.27,195.85,243.84,2,205
2014 / 05,Queens,05,5466.16,685.53,596.88,4,405
2014 / 05,Bronx,12,4272.35,370.36,439.08,2,212
2014 / 05,Bronx,07,3771.01,237.09,293.34,2,207
2014 / 05,Queens,03,5243.63,409.65,379.17,4,403
2014 / 05,Brooklyn,08,2821.46,216.22,193.92,3,308
2014 / 05,Manhattan,05,1373.9,274.37,155.18,1,105
2014 / 05,Queens,09,4544.02,440.03,415.71,4,409
2014 / 05,Manhattan,01,1410.86,411.08,225.84,1,101
2014 / 05,Bronx,10,2831.66,360.04,337.52,2,210
2014 / 05,Manhattan,12,5248.6,454.37,432.69,1,112
2014 / 05,Queens,07,7247.05,896.26,596.31,4,407
2014 / 05,Queens,02,3077.1,400.55,302.7,4,402
2014 / 05,Bronx,04,4375.11,185.4,208.56,2,204
2014 / 05,Bronx,03,1885.34,86.43,94.2,2,203
2014 / 05,Brooklyn,18,6044.33,626.92,503.14,3,318
2014 / 05,Staten Island,03,6919.23,871.2,716.34,5,503
2014 / 05,Queens,14,3538.54,253.97,202.5,4,414
2014 / 05,Brooklyn,16,2036.97,114.1,125.76,3,316
2014 / 05,Bronx,02,1585.93,97.24,119.53,2,202
2014 / 05,Queens,13,6396.8,589.81,650.01,4,413
2014 / 05,Bronx,06,2249.43,99.97,131.56,2,206
2014 / 05,Brooklyn,05,4862.05,244.21,289.29,3,305
2014 / 05,Queens,08,4051.23,521.9,342.81,4,408
2014 / 05,Manhattan,10,2935.17,236.7,190.02,1,110
2014 / 05,Queens,06,3029.26,464.41,292.1,4,406
2014 / 05,Brooklyn,10,3477.19,545.17,366.85,3,310
2014 / 05,Bronx,09,4131.68,214.65,269.1,2,209
2014 / 05,Brooklyn,04,3406.61,211.21,253.41,3,304
2014 / 06,Manhattan,06,2822.76,522.99,334.64,1,106
2014 / 06,Queens,11,3245.45,557.42,378.87,4,411
2014 / 06,Bronx,11,3120.39,304.11,276.88,2,211
2014 / 06,Bronx,12,3988.87,382.4,449.73,2,212
2014 / 06,Queens,01,4251.45,613.29,520.09,4,401
2014 / 06,Queens,06,2873.51,449.38,285.69,4,406
2014 / 06,Bronx,06,2136.04,105.15,134.59,2,206
