MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,BOROUGH_ID,BoroCD
2013 / 10,Queens,13,5189.25,505.94,573.44,4,413
2013 / 10,Brooklyn,07,3341.37,414.57,319.11,3,307
2013 / 10,Bronx,02,1545.83,72.33,92.12,2,202
2013 / 10,Queens,10,3785.36,375.29,343.98,4,410
2013 / 10,Manhattan,02,2167.47,446.13,294.68,1,102
2013 / 10,Bronx,12,3690.27,339.09,381.15,2,212
2013 / 10,Brooklyn,15,4670.1,617.78,379.51,3,315
2013 / 10,Bronx,08,2416.36,335.21,270.49,2,208
2013 / 10,Queens,03,4729.29,370.45,357.43,4,403
2013 / 10,Queens,09,4031.75,414.4,377.57,4,409
2013 / 10,Manhattan,05,1356.06,256.67,163.21,1,105
2013 / 10,Queens,06,2883.71,418.39,276.38,4,406
2013 / 10,Brooklyn,08,2651.51,240.25,207.81,3,308
2013 / 10,Brooklyn,16,1839.83,94.26,105.03,3,316
2013 / 10,Brooklyn,13,2191.43,164.62,147.91,3,313
2013 / 10,Brooklyn,11,4870.32,626.3,397.65,3,311
2013 / 10,Manhattan,08,5832.8,1111.11,668.05,1,108
2013 / 10,Staten Island,03,5681.46,821.65,601.06,5,503
2013 / 10,Manhattan,12,5063.32,443.34,414.31,1,112
2013 / 10,Queens,14,3255.07,220.39,165.16,4,414
